              x            q_h            q_r            q_m         N_drop
    0.49150E+00    0.81386E+05    0.23898E+02    0.14868E+05     1
    0.49690E+00    0.79412E+05    0.23283E+02    0.14508E+05     1
    0.50230E+00    0.77505E+05    0.22690E+02    0.14161E+05     1
    0.50770E+00    0.75662E+05    0.22118E+02    0.13825E+05     1
    0.51310E+00    0.73878E+05    0.21566E+02    0.13500E+05     1
    0.51850E+00    0.71832E+05    0.20947E+02    0.13129E+05     1
    0.52390E+00    0.69851E+05    0.20348E+02    0.12770E+05     1
    0.52931E+00    0.67933E+05    0.19770E+02    0.12422E+05     1
    0.53471E+00    0.66074E+05    0.19211E+02    0.12085E+05     1
    0.54011E-02    0.84708E+05    0.74601E+02    0.17678E+05     2
    0.10802E-01    0.81535E+05    0.71563E+02    0.17000E+05     2
    0.16203E-01    0.78927E+05    0.69080E+02    0.16443E+05     2
    0.21604E-01    0.76625E+05    0.66900E+02    0.15953E+05     2
    0.27005E-01    0.74529E+05    0.64923E+02    0.15506E+05     2
    0.32406E-01    0.72961E+05    0.63240E+02    0.15168E+05     2
    0.37808E-01    0.71508E+05    0.61674E+02    0.14854E+05     2
    0.43209E-01    0.70145E+05    0.60205E+02    0.14559E+05     2
    0.48610E-01    0.68862E+05    0.58819E+02    0.14282E+05     2
    0.54011E-01    0.67647E+05    0.57506E+02    0.14020E+05     2
    0.59412E-01    0.66658E+05    0.56327E+02    0.13804E+05     2
    0.64813E-01    0.65728E+05    0.55207E+02    0.13600E+05     2
    0.70214E-01    0.64851E+05    0.54144E+02    0.13407E+05     2
    0.75615E-01    0.64025E+05    0.53132E+02    0.13225E+05     2
    0.81016E-01    0.63248E+05    0.52170E+02    0.13054E+05     2
    0.86417E-01    0.62637E+05    0.51307E+02    0.12916E+05     2
    0.91818E-01    0.62077E+05    0.50490E+02    0.12789E+05     2
    0.97219E-01    0.61564E+05    0.49718E+02    0.12672E+05     2
    0.10262E+00    0.61100E+05    0.48990E+02    0.12564E+05     2
    0.10802E+00    0.60685E+05    0.48305E+02    0.12467E+05     2
    0.11342E+00    0.60381E+05    0.47691E+02    0.12392E+05     2
    0.11882E+00    0.60131E+05    0.47120E+02    0.12328E+05     2
    0.12422E+00    0.59935E+05    0.46592E+02    0.12274E+05     2
    0.12963E+00    0.59795E+05    0.46107E+02    0.12232E+05     2
    0.13503E+00    0.59712E+05    0.45665E+02    0.12202E+05     2
    0.14043E+00    0.59707E+05    0.45275E+02    0.12186E+05     2
    0.14583E+00    0.59766E+05    0.44930E+02    0.12184E+05     2
    0.15123E+00    0.59892E+05    0.44631E+02    0.12194E+05     2
    0.15663E+00    0.60088E+05    0.44378E+02    0.12218E+05     2
    0.16203E+00    0.60359E+05    0.44173E+02    0.12257E+05     2
    0.16743E+00    0.60661E+05    0.43995E+02    0.12302E+05     2
    0.17283E+00    0.61043E+05    0.43865E+02    0.12362E+05     2
    0.17824E+00    0.61510E+05    0.43786E+02    0.12439E+05     2
    0.18364E+00    0.62066E+05    0.43759E+02    0.12532E+05     2
    0.18904E+00    0.62718E+05    0.43787E+02    0.12644E+05     2
    0.19444E+00    0.63343E+05    0.43808E+02    0.12750E+05     2
    0.19984E+00    0.64064E+05    0.43883E+02    0.12874E+05     2
    0.20524E+00    0.64890E+05    0.44014E+02    0.13018E+05     2
    0.21064E+00    0.65829E+05    0.44204E+02    0.13183E+05     2
    0.21604E+00    0.66889E+05    0.44455E+02    0.13371E+05     2
    0.22144E+00    0.67877E+05    0.44674E+02    0.13544E+05     2
    0.22685E+00    0.68984E+05    0.44953E+02    0.13739E+05     2
    0.23225E+00    0.70221E+05    0.45295E+02    0.13958E+05     2
    0.23765E+00    0.71595E+05    0.45702E+02    0.14202E+05     2
    0.24305E+00    0.73121E+05    0.46179E+02    0.14473E+05     2
    0.24845E+00    0.74444E+05    0.46559E+02    0.14706E+05     2
    0.25385E+00    0.75904E+05    0.47002E+02    0.14963E+05     2
    0.25925E+00    0.77511E+05    0.47510E+02    0.15246E+05     2
    0.26465E+00    0.79276E+05    0.48088E+02    0.15557E+05     2
    0.27005E+00    0.81212E+05    0.48737E+02    0.15898E+05     2
    0.27546E+00    0.82822E+05    0.49234E+02    0.16177E+05     2
    0.28086E+00    0.84577E+05    0.49791E+02    0.16482E+05     2
    0.28626E+00    0.86488E+05    0.50414E+02    0.16814E+05     2
    0.29166E+00    0.88566E+05    0.51104E+02    0.17175E+05     2
    0.29706E+00    0.90824E+05    0.51864E+02    0.17567E+05     2
    0.30246E+00    0.92636E+05    0.52423E+02    0.17876E+05     2
    0.30786E+00    0.94594E+05    0.53038E+02    0.18209E+05     2
    0.31326E+00    0.96707E+05    0.53714E+02    0.18569E+05     2
    0.31866E+00    0.98984E+05    0.54451E+02    0.18957E+05     2
    0.32406E+00    0.10144E+06    0.55253E+02    0.19373E+05     2
    0.32947E+00    0.10322E+06    0.55765E+02    0.19668E+05     2
    0.33487E+00    0.10513E+06    0.56325E+02    0.19985E+05     2
    0.34027E+00    0.10717E+06    0.56934E+02    0.20323E+05     2
    0.34567E+00    0.10936E+06    0.57594E+02    0.20684E+05     2
    0.35107E+00    0.11168E+06    0.58305E+02    0.21069E+05     2
    0.35647E+00    0.11327E+06    0.58707E+02    0.21322E+05     2
    0.36187E+00    0.11495E+06    0.59147E+02    0.21591E+05     2
    0.36727E+00    0.11674E+06    0.59624E+02    0.21877E+05     2
    0.37267E+00    0.11864E+06    0.60141E+02    0.22181E+05     2
    0.37808E+00    0.12065E+06    0.60694E+02    0.22503E+05     2
    0.38348E+00    0.12177E+06    0.60896E+02    0.22670E+05     2
    0.38888E+00    0.12297E+06    0.61125E+02    0.22849E+05     2
    0.39428E+00    0.12423E+06    0.61380E+02    0.23039E+05     2
    0.39968E+00    0.12557E+06    0.61662E+02    0.23242E+05     2
    0.40508E+00    0.12697E+06    0.61969E+02    0.23455E+05     2
    0.41048E+00    0.12745E+06    0.61921E+02    0.23510E+05     2
    0.41588E+00    0.12798E+06    0.61891E+02    0.23573E+05     2
    0.42128E+00    0.12854E+06    0.61879E+02    0.23642E+05     2
    0.42669E+00    0.12915E+06    0.61886E+02    0.23719E+05     2
    0.43209E+00    0.12980E+06    0.61908E+02    0.23803E+05     2
    0.43749E+00    0.12962E+06    0.61620E+02    0.23746E+05     2
    0.44289E+00    0.12946E+06    0.61347E+02    0.23695E+05     2
    0.44829E+00    0.12934E+06    0.61088E+02    0.23649E+05     2
    0.45369E+00    0.12924E+06    0.60841E+02    0.23607E+05     2
    0.45909E+00    0.12916E+06    0.60606E+02    0.23569E+05     2
    0.46449E+00    0.12849E+06    0.60156E+02    0.23433E+05     2
    0.46989E+00    0.12785E+06    0.59719E+02    0.23302E+05     2
    0.47530E+00    0.12723E+06    0.59293E+02    0.23174E+05     2
    0.48070E+00    0.12662E+06    0.58878E+02    0.23050E+05     2
    0.48610E+00    0.12603E+06    0.58472E+02    0.22929E+05     2
    0.49150E+00    0.12491E+06    0.57871E+02    0.22719E+05     2
    0.49690E+00    0.12381E+06    0.57279E+02    0.22511E+05     2
    0.50230E+00    0.12272E+06    0.56698E+02    0.22308E+05     2
    0.50770E+00    0.12165E+06    0.56128E+02    0.22108E+05     2
    0.51310E+00    0.12060E+06    0.55567E+02    0.21911E+05     2
    0.51850E+00    0.11933E+06    0.54930E+02    0.21678E+05     2
    0.52390E+00    0.11808E+06    0.54303E+02    0.21448E+05     2
    0.52931E+00    0.11685E+06    0.53686E+02    0.21223E+05     2
    0.53471E+00    0.11563E+06    0.53080E+02    0.21000E+05     2
